id,title,vote_average,release_date,revenue,runtime,popularity,vote_count
502356,The Super Mario Bros. Movie,7.775,2023-04-05,1355725263,93,410.411,6743
346698,Barbie,7.279,2023-07-19,1428545028,114,1069.34,5074
447365,Guardians of the Galaxy Vol. 3,8.023,2023-05-03,845430302,150,318.516,4941
603692,John Wick: Chapter 4,7.814,2023-03-22,426978565,170,482.538,4639
569094,Spider-Man: Across the Spider-Verse,8.442,2023-05-31,683241751,140,512.336,4394
640146,Ant-Man and the Wasp: Quantumania,6.431,2023-02-15,476071180,125,173.694,4009
385687,Fast X,7.265,2023-05-17,704709660,142,1175.267,3881
872585,Oppenheimer,8.256,2023-07-19,933700000,181,463.384,3766
667538,Transformers: Rise of the Beasts,7.492,2023-06-06,429800000,127,616.74,3270
298618,The Flash,6.898,2023-06-13,268375616,144,480.393,2959
976573,Elemental,7.757,2023-06-14,486797988,102,1008.942,2467
594767,Shazam! Fury of the Gods,6.662,2023-03-15,133437105,130,143.169,2416
493529,Dungeons & Dragons: Honor Among Thieves,7.459,2023-03-23,208177026,134,126.33,2329
713704,Evil Dead Rise,7.006,2023-04-12,146733054,96,188.126,2292
447277,The Little Mermaid,6.536,2023-05-18,569244557,135,353.543,2148
615656,Meg 2: The Trench,6.912,2023-08-02,384056482,116,1567.273,2034
677179,Creed III,7.194,2023-03-01,275248615,116,164.985,1987
758323,The Pope's Exorcist,7.144,2023-04-05,70204828,103,196.08,1971
934433,Scream VI,7.2,2023-03-08,168961389,123,231.85,1836
631842,Knock at the Cabin,6.351,2023-02-01,54708659,100,68.135,1828
697843,Extraction 2,7.487,2023-06-09,0,123,180.216,1814
646389,Plane,6.997,2023-01-12,51000000,107,95.197,1753
335977,Indiana Jones and the Dial of Destiny,6.679,2023-06-28,382891104,155,579.252,1748
1010581,My Fault,8.106,2023-06-08,0,117,361.025,1738
700391,65,6.122,2023-03-02,55000000,92,85.473,1653
882569,Guy Ritchie's The Covenant,7.814,2023-04-19,20000000,123,188.559,1651
804150,Cocaine Bear,6.213,2023-02-22,87649532,96,97.888,1449
884605,No Hard Feelings,7.166,2023-06-15,82995526,104,298.801,1401
964980,Air,7.385,2023-04-05,87078875,112,38.283,1384
638974,Murder Mystery 2,6.518,2023-03-28,0,91,69.188,1353
840326,Sisu,7.532,2023-01-27,13009289,91,157.379,1325
868759,Ghosted,7.057,2023-04-18,0,117,122.809,1324
575264,Mission: Impossible - Dead Reckoning Part One,7.74,2023-07-08,563148955,164,401.083,1171
724209,Heart of Stone,6.901,2023-08-09,0,124,336.927,1166
614479,Insidious: The Red Door,6.85,2023-07-05,185582093,107,305.896,1161
739405,Operation Fortune: Ruse de Guerre,6.582,2023-01-04,37846713,114,56.248,1047
565770,Blue Beetle,7.139,2023-08-16,124818235,128,2994.357,1023
649609,Renfield,6.723,2023-04-07,26348156,93,63.941,1014
552688,The Mother,6.757,2023-05-04,0,115,73.948,1004
1008042,Talk to Me,7.214,2023-07-26,72600000,95,1458.514,973
726759,Tetris,7.793,2023-03-15,0,118,26.113,886
980078,Winnie the Pooh: Blood and Honey,5.492,2023-01-27,5200000,84,96.154,835
455476,Knights of the Zodiac,6.635,2023-04-27,6794519,113,191.639,828
747188,Asteroid City,6.606,2023-06-08,47281670,105,81.734,823
930094,"Red, White & Royal Blue",8.168,2023-07-27,0,121,90.603,805
457332,Hidden Strike,7.043,2023-07-06,0,103,167.954,751
722149,Luther: The Fallen Sun,6.741,2023-02-24,0,129,21.104,723
635910,The Last Voyage of the Demeter,7.318,2023-08-09,21576744,119,307.895,715
768362,Missing,7.531,2023-01-19,45100756,111,27.68,707
980489,Gran Turismo,8.068,2023-08-09,114800000,135,2680.593,702
