title,id,channel_id,published,viewCount,likeCount,commentCount,duration,duration_clean,engagement
PRIMEIRO ROLE COM A MT07 NO DIRETÃO,l24mFqvCXjA,UCs1JevIKnU4E4ULMZr-0Qog,2024-07-26 15:06:51+00:00,226216,17473,265,PT17M45S,17.75,0.07841178342822788
NOVA MOTO DE VOCÊS,vuTW26TOGJ8,UCs1JevIKnU4E4ULMZr-0Qog,2024-07-25 14:50:43+00:00,20730,2822,78,PT10M47S,10.783333333333331,0.13989387361312108
A HORNET MAIS NOVA DO BRASIL - Como comprar uma boa,kgK17QEfNiQ,UCs1JevIKnU4E4ULMZr-0Qog,2024-03-28 15:00:45+00:00,32130,3927,116,PT12M23S,12.383333333333333,0.12583255524431994
COMO DESATIVAR COMBI BRAKE DAS 160 2024,c79RVMiji4Q,UCs1JevIKnU4E4ULMZr-0Qog,2024-03-26 15:00:28+00:00,77244,7388,177,PT12M51S,12.85,0.09793640930039874
A START 2024 VEIO DIFERENTE DAS OUTRAS,sNJ_-UUZiZQ,UCs1JevIKnU4E4ULMZr-0Qog,2024-03-21 15:00:58+00:00,100444,8892,174,PT13M31S,13.516666666666667,0.0902592489347298
PRIMEIRO TESTE NA BMW S1000 DEPOIS QUE EU CAI,05-Axp3WmsU,UCs1JevIKnU4E4ULMZr-0Qog,2024-03-12 15:00:00+00:00,81329,8665,93,PT14M19S,14.316666666666666,0.10768606524118088
DE HORNET NA QUEBRADA,AH1IbDJ9Evo,UCs1JevIKnU4E4ULMZr-0Qog,2024-02-06 15:14:44+00:00,107625,12152,328,PT13M8S,13.133333333333333,0.1159581881533101
PRIMEIRO ROLÊ NA DT200,xzDUCsjws9M,UCs1JevIKnU4E4ULMZr-0Qog,2024-01-18 15:01:00+00:00,127601,13203,246,PT12M33S,12.55,0.10539886051049757
MANSÃO MILGRAU FICOU PRONTA - SONHO REALIZADO,NQb489zfqiw,UCs1JevIKnU4E4ULMZr-0Qog,2024-01-05 14:54:14+00:00,116127,15613,347,PT9M41S,9.683333333333334,0.13743573845875637
ROLÊ DE CRIA COM A BMW S1000rr,siQj0MoNZj0,UCs1JevIKnU4E4ULMZr-0Qog,2023-06-02 14:30:53+00:00,93289,7188,215,PT7M42S,7.7,0.0793555510295962
COLOQUEI A S1000 FOGUETE NAS PISTAS,6yxUp4Mw10o,UCs1JevIKnU4E4ULMZr-0Qog,2023-05-25 14:30:03+00:00,48193,4587,144,PT10M16S,10.266666666666667,0.09816778370302741
ROLÊ DE CRIA - Quase bato a startinha,GPx07CKlIQk,UCs1JevIKnU4E4ULMZr-0Qog,2023-05-16 14:30:09+00:00,60843,7473,127,PT11M3S,11.05,0.12491165787354339
SONHO REALIZADO - OPALÃO TURBO FICOU PRONTO,bIapOJCGsoo,UCs1JevIKnU4E4ULMZr-0Qog,2023-05-09 14:30:22+00:00,115923,10237,199,PT10M45S,10.75,0.09002527539832475
APRENDENDO A ZERAR A START 160 EM PÉ,2Rufnk9J2Wc,UCs1JevIKnU4E4ULMZr-0Qog,2023-05-05 14:40:31+00:00,26305,3692,51,PT11M40S,11.666666666666666,0.14229233985934234
TUDO QUE A START DA DE FINAL - ORIGINAL,AaiBkavu5-0,UCs1JevIKnU4E4ULMZr-0Qog,2023-05-02 14:41:04+00:00,135294,12234,225,PT10M45S,10.75,0.09208834094638343
MUNIZ DO GOIAS - MILGRAU APRESENTA,hZoq-IdRNtg,UCs1JevIKnU4E4ULMZr-0Qog,2023-04-27 14:30:13+00:00,102745,9579,272,PT12M56S,12.933333333333334,0.095878144921894
OPALA TURBO VAI FICAR PRONTO - Falta pouco!,o9PGmaPOAF4,UCs1JevIKnU4E4ULMZr-0Qog,2023-04-19 14:30:13+00:00,12828,2259,46,PT10M9S,10.15,0.17968506392266917
ATIVANDO O MODO PILOTO DE FUGA,yYGQCuFTbPc,UCs1JevIKnU4E4ULMZr-0Qog,2023-04-18 14:33:45+00:00,96997,11338,147,PT10M40S,10.666666666666666,0.11840572388836768
NOVO DESAFIO - APRENDENDO O CONTROLE DE EMBREAGEM,wT12I-vRiZ4,UCs1JevIKnU4E4ULMZr-0Qog,2023-04-11 14:37:52+00:00,16664,2191,49,PT20M23S,20.383333333333333,0.13442150744119058
OLHA O QUE DEU NO PRIMEIRO ROLÊ COM A START 160,e0V5ZEZDy5M,UCs1JevIKnU4E4ULMZr-0Qog,2023-04-06 14:30:19+00:00,100324,10449,178,PT8M8S,8.133333333333333,0.10592679717714605
