title,id,channel_id,published,viewCount,likeCount,commentCount,duration,duration_clean,engagement
YouTube’s ultimate DJ b2b with @atrak and friends,O0FivZZvJ_A,UCBR8-60-B28hp2BmDPdntcQ,2024-07-18 14:00:15+00:00,1275198,7944,1204,PT16M5S,16.083333333333332,0.007173787913720066
@SoupTimmy vs @1SkaterGirl33 Face Off in the Ultimate Rubik’s Cube Trivia Challenge,yyvBqSC4uU8,UCBR8-60-B28hp2BmDPdntcQ,2024-07-12 14:00:56+00:00,1781414,12100,1206,PT6M46S,6.766666666666667,0.007469347383595279
"A Full Day Of Yoga Flows in 30 Minutes with @yogawithadriene, @MalovaElena, and more",BOOfnxHKyOk,UCBR8-60-B28hp2BmDPdntcQ,2024-06-20 14:00:07+00:00,1327234,9685,1185,PT32M47S,32.78333333333333,0.008189964994869028
"@Aphmau, @TommyInnit and friends Celebrate 15 Years of Minecraft Magic",REC8iW1MxPk,UCBR8-60-B28hp2BmDPdntcQ,2024-05-28 13:00:31+00:00,3383095,50440,3784,PT7M34S,7.566666666666666,0.016027927090430508
"The Smallest, Most Teeny Tiny, Miniature Museum Tour by @TheSquaretoSpare",az210VxLulE,UCBR8-60-B28hp2BmDPdntcQ,2024-04-28 14:00:03+00:00,2442435,29733,1340,PT4M58S,4.966666666666667,0.01272213999553724
Mafia Boy Falls In Love With Quiet Girl | Alan’s Universe,0a-pSKBgc9k,UC5gxP-2QqIh_09djvlm9Xcg,2024-07-14 12:00:07+00:00,9712707,145237,7511,PT17M53S,17.883333333333333,0.015726614629680478
My Girlfriend is a Vampire!? | Alan’s Universe,nJ1bhFOFJ6Y,UC5gxP-2QqIh_09djvlm9Xcg,2024-06-30 12:00:06+00:00,17750961,184336,7699,PT14M31S,14.516666666666667,0.010818287528207628
I Survived The World’s Most EVIL Teacher | Alan’s Universe,PU0B62SzH1w,UC5gxP-2QqIh_09djvlm9Xcg,2024-06-09 12:00:06+00:00,19626311,181019,7267,PT11M56S,11.933333333333334,0.009593550209206407
"इधर भी तू उधर भी तू HD - अपने अपने - करन शाह, मंदाकिनी - अमित कुमार, आशा भोसले - Old Is Gold",J5ux0lbwxFM,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-29 03:30:07+00:00,56156,160,9,PT6M12S,6.2,0.003009473609231427
"शैरी में हो गया दीवाना HD - विजेता - संजय दत्त, रवीना टंडन - कविता कृष्णमूर्ति, अभिजीत - Old Is Gold",eXSgejr_2gc,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-29 02:30:17+00:00,15234,135,17,PT5M16S,5.266666666666667,0.009977681501903637
"हो मैंने दिल दिया HD - ज़मीन आसमान - संजय दत्त, अनीता राज - किशोर कुमार, लता मंगेशकर - Old Is Gold",MTqRHcTS8gs,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-28 03:30:10+00:00,34032,251,11,PT5M5S,5.083333333333333,0.007698636577338975
"ततैया बोले तू तू तू HD- मुक़द्दर- मिथुन चक्रवर्ती, आयशा जुल्का -साधना सरगम, विनोद राठोड- Old Is Gold",-d__Ck09EyQ,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-28 02:30:00+00:00,21259,164,12,PT5M21S,5.35,0.00827884660614328
"आयो तुम्हें बताये  HD - औलाद के दुश्मन - अरमान कोहली, आयशा जुल्का - अभिजीत भट्टाचार्य, जॉली मुखर्जी",myg5FHD9Das,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-27 03:30:17+00:00,27982,120,6,PT6M49S,6.816666666666666,0.004502894718033021
"अब के सजन सावन में HD - चुपके चुपके - धर्मेन्द्र, शर्मिला टैगोर - लता मंगेशकर - Old Is Gold",4dgl5gzhYbk,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-26 02:30:03+00:00,59647,370,8,PT4M32S,4.533333333333333,0.006337284356296209
"काली जुल्फें गौरे गाल HD-प्रतिकार -अनिल कपूर, माधुरी दीक्षित -मोहम्मद अज़ीज़, आशा भोसले -Old Is Gold",7bzWTafgi8U,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-25 03:30:04+00:00,69691,280,12,PT4M49S,4.816666666666666,0.004189924093498443
"मितवा रे ओ मितवा | Nache Nagin Gali Gali | मीनाक्षी शेषाद्रि, नितीश भरद्वाज | Sadhana Sargam, Nitin",-Gb5h5KUwrs,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-25 02:30:00+00:00,133600,669,15,PT5M8S,5.133333333333334,0.0051197604790419165
"बता दूँ क्या लाना तुम लौट के | Patthar Ke Sanam | मनोज कुमार, वहीदा रहमान | Lata Mangeshkar",rUnT06UhtDc,UCtW7qWjpCZ8zps-Cf2NF26w,2024-07-24 02:30:24+00:00,103347,502,13,PT4M31S,4.516666666666667,0.004983211897781261
"बोल मेरे साथिया कितना मुझसे प्यार है HD - ललकार - राजेंद्र कुमार, माला सिन्हा - मोहम्मद रफ़ी, लता",VMo6qqFolB0,UCtW7qWjpCZ8zps-Cf2NF26w,2023-06-30 04:30:17+00:00,626317,4252,183,PT2M46S,2.7666666666666666,0.007081078750856196
पते की बात कहेगा HD - दीवाना - राज कपूर - मुकेश - Old Is Gold,MZCTwLuz0O8,UCtW7qWjpCZ8zps-Cf2NF26w,2023-06-02 02:30:06+00:00,12087,145,8,PT4M15S,4.25,0.012658227848101266
"ओ मुंगड़ा मुंगड़ा HD - इंकार - हेलेन, अमजद ख़ान - उषा मंगेशकर - Old Is Gold",C7IGHlGHxEU,UCtW7qWjpCZ8zps-Cf2NF26w,2023-03-08 02:30:10+00:00,2649604,6746,102,PT4M10S,4.166666666666667,0.002584537161024817
Yeh Kya Karne Lage Ho | Zeenat Aman | Hemlata | Bombay 405 Miles Song,ePx6kSdzHZ0,UCtW7qWjpCZ8zps-Cf2NF26w,2023-01-05 03:30:08+00:00,15590,130,6,PT4M55S,4.916666666666667,0.008723540731237973
