title,id,channel_id,published,viewCount,likeCount,commentCount,duration,duration_clean,engagement
POTATO SALADS - 3 ways!,FRDXhFVmlUg,UCq2E1mIwUKMWzCA4liA_XGQ,2024-06-23 16:09:47+00:00,267874,15812,330,PT7M4S,7.066666666666666,0.060259674324495846
ONE SIMPLE HABIT to improve any relationship ❤️,WI_9NoMof7s,UCq2E1mIwUKMWzCA4liA_XGQ,2024-04-16 15:49:26+00:00,497982,29222,779,PT6M40S,6.666666666666667,0.06024514942307152
PASTA perfect for weeknight dinner (plant-based) 🍝,QKj6DRKOelE,UCq2E1mIwUKMWzCA4liA_XGQ,2024-03-28 15:44:35+00:00,197567,9019,231,PT8M2S,8.033333333333333,0.04681955994675224
"7-ingredient meals (minimal ingredients, MAX flavor) 7️⃣ 🎉",9iqQJIfMAnU,UCq2E1mIwUKMWzCA4liA_XGQ,2024-03-10 16:06:32+00:00,248475,12852,362,PT8M50S,8.833333333333334,0.053180400442700476
"Level-up your LUNCH (plant-based, make-ahead, to-go) 🌟",WqNmhHdOEfU,UCq2E1mIwUKMWzCA4liA_XGQ,2024-02-25 15:37:47+00:00,347035,15071,298,PT6M33S,6.55,0.04428659933436109
A day in the life (on our road trip adventure!) 🚐🦘,O6eWdiaBLqc,UCq2E1mIwUKMWzCA4liA_XGQ,2024-02-11 16:48:04+00:00,231963,12218,587,PT13M4S,13.066666666666666,0.05520276940718994
High protein anti-inflammatory noodle soup (aush reshteh) 👩🏻‍🍳,7HM6Ha43wPg,UCq2E1mIwUKMWzCA4liA_XGQ,2024-01-28 16:36:51+00:00,677066,28339,682,PT7M7S,7.116666666666666,0.04286288190516139
"ONE-POT meals (plant-based, easy, cozy)",AQ_MZG83Wls,UCq2E1mIwUKMWzCA4liA_XGQ,2024-01-14 17:06:10+00:00,430536,18144,456,PT6M52S,6.866666666666667,0.04320196220525113
Easy NO-BAKE treats (perfect for the holidays) 🎄,QV-B0S_yuc4,UCq2E1mIwUKMWzCA4liA_XGQ,2023-12-10 17:11:51+00:00,291331,15549,336,PT7M27S,7.45,0.05452560832867082
Full day of easy home-cooked meals 🎉,8CqwjlaKqns,UCq2E1mIwUKMWzCA4liA_XGQ,2023-11-30 17:01:27+00:00,511128,18980,6643,PT15M47S,15.783333333333331,0.050130300042259476
Micro habits that improved my life ✨,1-VFShuFJXQ,UCq2E1mIwUKMWzCA4liA_XGQ,2023-11-12 16:07:12+00:00,948018,37243,711,PT9M21S,9.35,0.04003510481868488
Become better at talking to people 🗣️,Cl_bNkVzdQg,UCq2E1mIwUKMWzCA4liA_XGQ,2023-09-28 14:28:05+00:00,1174772,65464,950,PT8M52S,8.866666666666667,0.056533523100652724
