title,id,channel_id,published,viewCount,likeCount,commentCount,duration,duration_clean,engagement
Can Ali-A & Nick Eh 30 Survive 100 Stream Snipers?,m63JHb-swBA,UCYVinkwSX7szARULgYpvhLw,2024-07-26 20:01:00+00:00,198175,4599,274,PT21M37S,21.616666666666667,0.02458937807493377
Fortnite’s *NEW* GIANT Update! (FREE Cybertruck & Deadpool RETURNS),CkLThNuvZi4,UCYVinkwSX7szARULgYpvhLw,2024-07-23 13:46:00+00:00,573004,8483,594,PT12M31S,12.516666666666667,0.01584107615304605
My FAMILY Controls My Fortnite Games!,6meoQF8irZ8,UCYVinkwSX7szARULgYpvhLw,2024-07-20 20:31:00+00:00,272842,5011,355,PT29M39S,29.65,0.019667060056736133
*NEW* Fortnite MYTHIC UPDATE - Pirates of the Caribbean! (Free Battle Pass),m0Fuk82V3Y4,UCYVinkwSX7szARULgYpvhLw,2024-07-19 15:48:00+00:00,218985,5291,245,PT13M15S,13.25,0.025280270338151015
The 50 Rarest Fortnite Skins of All Time!,fnWqf0rREuE,UCYVinkwSX7szARULgYpvhLw,2024-07-04 18:01:00+00:00,290646,5773,595,PT18M37S,18.616666666666667,0.021909814688659057
Meet Fortnite’s YOUNGEST FNCS Champion!,_eaZ4nUqAyY,UCYVinkwSX7szARULgYpvhLw,2024-07-02 19:01:00+00:00,194432,4009,253,PT17M,17.0,0.02192026003949967
I BECAME the Wanderer in Fortnite (Invisible Skin),Ryjr_p9zOQQ,UCYVinkwSX7szARULgYpvhLw,2024-06-29 20:01:00+00:00,708782,10081,870,PT13M15S,13.25,0.015450448798078957
I Challenged Nick Eh 30 in Fortnite!,Mnaanhh2pGQ,UCYVinkwSX7szARULgYpvhLw,2024-06-24 18:01:00+00:00,262033,5416,238,PT19M9S,19.15,0.02157743490323738
LEGO Fortnite x Star Wars Is CRAZY!,AzUANuAS1MU,UCYVinkwSX7szARULgYpvhLw,2024-06-20 18:01:00+00:00,105447,2152,171,PT26M38S,26.633333333333333,0.022030024562102287
Fortnite REMOVED This After 26 Minutes...,h6q3Lr8Haac,UCYVinkwSX7szARULgYpvhLw,2024-06-15 18:01:00+00:00,498523,7428,341,PT15M2S,15.033333333333331,0.015584035240099253
The *MYTHIC* 4 Corner Challenge in Fortnite Season 3!,cqtXISU1lAk,UCYVinkwSX7szARULgYpvhLw,2024-05-25 20:04:00+00:00,1472147,10709,756,PT18M31S,18.516666666666666,0.007787945089722697
I Bought Every Fortnite Toy On Amazon,PXRX0oZpqfM,UCYVinkwSX7szARULgYpvhLw,2024-05-11 20:01:00+00:00,2029139,28207,1009,PT14M34S,14.566666666666666,0.014398225059988497
The *MYTHIC* 4 Corner Challenge in Fortnite!,KJ4fwVRZa84,UCYVinkwSX7szARULgYpvhLw,2024-05-08 20:01:00+00:00,1833171,17483,592,PT17M7S,17.116666666666667,0.009859963964081911
Can Ali-A & MrSavage Survive 100 Stream Snipers?,kq51nHPDBFY,UCYVinkwSX7szARULgYpvhLw,2024-04-26 20:01:00+00:00,795687,9177,367,PT22M48S,22.8,0.011994666244390068
I Went UNDERCOVER in Nick Eh 30's Fortnite Hide and Seek!,0QFzIyBado0,UCYVinkwSX7szARULgYpvhLw,2024-03-15 22:46:00+00:00,1702253,18836,487,PT13M23S,13.383333333333333,0.011351426609323057
1 HOUR of *NEW* Fortnite FUNNIEST TikToks! (MEMES),zFXR3NgFS8E,UCYVinkwSX7szARULgYpvhLw,2024-02-23 20:01:00+00:00,2644579,13967,553,PT1H2M41S,62.68333333333333,0.0054904769341358305
Fortnite’s *NEW* PUMP SHOTGUN Update!,xBNfNm7FO5c,UCYVinkwSX7szARULgYpvhLw,2023-06-27 14:01:00+00:00,573908,11748,359,PT12M,12.0,0.021095715689622728
Fortnite's *NEW* MYTHIC Update!,OV4PPfjYKe0,UCYVinkwSX7szARULgYpvhLw,2023-06-20 12:52:00+00:00,556213,10022,599,PT11M32S,11.533333333333331,0.01909520273708094
END of Fortnite Chapter 4 - *LIVE* EVENT!,mAIBPr1txjA,UCYVinkwSX7szARULgYpvhLw,2023-06-16 18:01:00+00:00,526314,8185,454,PT8M9S,8.15,0.016414155808129747
IT'S BACK (but DIFFERENT) in Fortnite!,g_WmNJL9Tyo,UCYVinkwSX7szARULgYpvhLw,2023-06-13 17:16:00+00:00,440479,8692,819,PT11M13S,11.216666666666669,0.021592402816025282
Fortnite’s *NEW* MINIGUN!,r_HDQvJHqXQ,UCYVinkwSX7szARULgYpvhLw,2023-06-12 22:01:00+00:00,361083,7551,189,PT8M18S,8.3,0.02143551482623109
*NEW* Fortnite Chapter 4 SEASON 3 TRAILER!,EP6K9k_VHv4,UCYVinkwSX7szARULgYpvhLw,2023-06-06 17:42:00+00:00,430130,10476,690,PT9M8S,9.133333333333333,0.025959593611233813
Epic Games are giving out FREE SKINS!,Lumlo96rJVw,UCYVinkwSX7szARULgYpvhLw,2023-05-18 21:06:00+00:00,466564,9453,547,PT10M27S,10.45,0.02143328675165679
Fortnite's HUGE Announcement!,QWjHQQcmWcE,UCYVinkwSX7szARULgYpvhLw,2023-05-13 23:31:00+00:00,219856,6518,550,PT8M25S,8.416666666666666,0.03214831526089804
FINALLY...,DQGL2ngCBdM,UCYVinkwSX7szARULgYpvhLw,2023-05-04 22:01:00+00:00,241487,7194,370,PT10M44S,10.733333333333333,0.03132259707561898
*NEW* Star Wars BATTLE PASS in Fortnite! (FREE),36qbuOTX-zQ,UCYVinkwSX7szARULgYpvhLw,2023-05-02 13:14:00+00:00,281710,7932,491,PT9M47S,9.783333333333331,0.0298995420822832
Saying Goodbye,iYm5t6INzWQ,UCYVinkwSX7szARULgYpvhLw,2023-04-29 21:01:00+00:00,270386,7588,658,PT8M44S,8.733333333333333,0.03049714112417063
Fortnite's BIG mistake...,-EtLbUu6uLI,UCYVinkwSX7szARULgYpvhLw,2023-04-22 20:01:00+00:00,1037257,11216,422,PT9M32S,9.533333333333331,0.011219977305527946
1 HOUR of *NEW* Fortnite FUNNIEST Moments! (TRY NOT TO LAUGH),ObWsttKB86k,UCYVinkwSX7szARULgYpvhLw,2023-04-20 22:51:00+00:00,2554893,13394,412,PT1H22S,60.36666666666667,0.005403748806701494
ATTACK ON TITAN Update in Fortnite! (NEW Mythics),NrnE6Jtnhdo,UCYVinkwSX7szARULgYpvhLw,2023-04-11 13:13:00+00:00,259026,7343,381,PT9M53S,9.883333333333333,0.02981940036907492
Fortnite’s *LIVE* Volcano Event!,zvMqTGinLDc,UCYVinkwSX7szARULgYpvhLw,2023-04-04 22:01:00+00:00,542573,9132,427,PT12M6S,12.1,0.01761790579332182
Fortnite Messed Up...,ZYsBzlonCq8,UCYVinkwSX7szARULgYpvhLw,2023-04-03 21:24:00+00:00,283311,7878,465,PT10M6S,10.1,0.029448203564280948
BEST Fortnite Creative 2.0 maps!,5BScfVaM15k,UCYVinkwSX7szARULgYpvhLw,2023-03-25 23:01:01+00:00,263745,7105,306,PT9M25S,9.416666666666666,0.028099110883618647
I interviewed the OWNER of Fortnite! (Epic Games CEO),w1QzOvqGvs0,UCYVinkwSX7szARULgYpvhLw,2023-03-24 01:01:00+00:00,228196,8178,477,PT1H3M50S,63.833333333333336,0.03792792161124647
Fortnite’s *NEW* LIVE EVENT!,se7m65dqW7k,UCYVinkwSX7szARULgYpvhLw,2023-03-13 20:26:00+00:00,433387,9342,553,PT10M54S,10.9,0.022831787755516433
*NEW* MYTHICS in Fortnite Chapter 4 SEASON 2!,mkQcGmqNAjU,UCYVinkwSX7szARULgYpvhLw,2023-03-11 19:31:00+00:00,323125,6928,322,PT9M30S,9.5,0.02243713733075435
Bronze to Unreal Speedrun (world record),O9RHdoxRMCc,UCw1SQ6QRRtfAhrN_cjkrOgA,2024-05-22 03:12:16+00:00,7553733,163275,5399,PT25M11S,25.183333333333334,0.02232988642833947
1v1ing My Nephew,onWEPV5IHeI,UCw1SQ6QRRtfAhrN_cjkrOgA,2024-04-30 00:01:13+00:00,5621614,135988,4951,PT11M53S,11.883333333333333,0.025070913798065822
I Used GODMODE Cheats,GFZ3s-4_MDM,UCw1SQ6QRRtfAhrN_cjkrOgA,2024-04-14 22:40:42+00:00,7899824,162309,4652,PT14M27S,14.45,0.02113477464814406
I Got 5 Stars In EVERY GTA,L_xFRqMPtE4,UCw1SQ6QRRtfAhrN_cjkrOgA,2024-03-17 01:55:06+00:00,4959446,153269,4213,PT13M17S,13.283333333333331,0.031753949937150236
RANKED Meme Olympics,IbAWb-NmFHs,UCw1SQ6QRRtfAhrN_cjkrOgA,2024-02-19 01:19:25+00:00,6400093,153530,2982,PT12M54S,12.9,0.024454644643445024
I Got UNREAL Without Moving,IKEZKuklHWo,UCw1SQ6QRRtfAhrN_cjkrOgA,2024-01-29 22:09:30+00:00,11910036,345538,10405,PT22M21S,22.35,0.029885971797230505
I Used Fortnite Admin Cheats,-wDKyUtL8Mk,UCw1SQ6QRRtfAhrN_cjkrOgA,2023-11-01 01:00:53+00:00,10688182,230665,5923,PT9M43S,9.716666666666669,0.02213547636071317
"I Spent 10,000,000 Robux",6GFwqT5bNNA,UCw1SQ6QRRtfAhrN_cjkrOgA,2023-02-28 20:27:23+00:00,15690129,333539,13331,PT11M,11.0,0.022107530154787128
TENTAR FUGIR DO PAI MALUCO FOI UM ERRO FATAL NO ROBLOX…,X-Qa8M8hFtE,UCYtaoJSk9iIrFxx8eZB15ag,2024-07-29 00:10:29+00:00,280945,9963,282,PT16M18S,16.3,0.03646621224794889
A PROFESSORA LUTOU COM NAMORADO!! (Scary Teacher),wTVukHJXg4o,UCYtaoJSk9iIrFxx8eZB15ag,2024-07-27 21:53:15+00:00,326189,14334,452,PT14M8S,14.133333333333333,0.04532954820671451
ESTAMOS PRESOS NA NOVA PRISÃO DO ROBLOX!! (Mad City),xv_45ksJXsc,UCYtaoJSk9iIrFxx8eZB15ag,2024-07-26 22:06:00+00:00,224834,7661,454,PT18M42S,18.7,0.036093295498011865
ESSA PORTA ESCONDE UM SEGREDO NO ROBLOX... (Door),iCHdTK2MmE8,UCYtaoJSk9iIrFxx8eZB15ag,2024-07-25 23:48:24+00:00,145022,8806,382,PT23M7S,23.116666666666667,0.0633559046213678
NOOB VS PRO: CONSTRUIR MINION EM 5 MINUTOS / 1 MINUTOS / 10 SEGUNDOS NO MINECRAFT!!,htbN0Ko7UQs,UCYtaoJSk9iIrFxx8eZB15ag,2024-07-25 00:10:22+00:00,185979,7915,566,PT19M33S,19.55,0.04560192279773523
NOOB VS PRO: ROLETA DO DIVERTIDAMENTE 2 NO MINECRAFT!!,XPVsjgM95dk,UCYtaoJSk9iIrFxx8eZB15ag,2024-07-23 23:35:04+00:00,408201,23471,562,PT18M15S,18.25,0.05887540696862575
"🚨ALIAS EL DINO ""SAKURA VS BILLS"" 16 TEMPORADA Capitulo #14",9iSWFci8bGo,UCQepteFTvZ8Fnoyt7PleZVA,2024-07-26 23:05:49+00:00,89555,5180,162,PT7M47S,7.783333333333333,0.059650494109764945
"🚨ALIAS EL DINO ""EL PODER DE LOS DIOSES"" 16 TEMPORADA Capitulo #13",cLXQTiPU2KM,UCQepteFTvZ8Fnoyt7PleZVA,2024-07-22 23:01:32+00:00,93437,5629,187,PT6M25S,6.416666666666667,0.062245149137921806
"🔥 *HISTORIAS RAP FREE FIRE* ""LA COBRA"" PARTE #2",OyNr2oUmykw,UCQepteFTvZ8Fnoyt7PleZVA,2024-07-04 22:44:57+00:00,257089,3945,147,PT3M46S,3.7666666666666666,0.01591666699080863
"🔥 *HISTORIAS RAP FREE FIRE* ""LA HISTORIA DE COBRA PARTE #1",e43YvdTLV_s,UCQepteFTvZ8Fnoyt7PleZVA,2024-06-22 19:47:04+00:00,282741,4858,145,PT3M46S,3.7666666666666666,0.017694639263495567
"🚨ALIAS EL DINO ""DESCANSA EN PAZ"" 12 TEMPORADA Capitulo #24",3sDJS5sV2uM,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-29 19:11:09+00:00,150096,11306,584,PT7M7S,7.116666666666666,0.07921596844686067
"🚨ALIAS EL DINO ""CAPITULO EXTRA"" Se Acabo la Temporada? Proxima!",v8WiWlpM8pM,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-28 18:32:47+00:00,50617,11592,1693,PT6M13S,6.216666666666667,0.2624612284410376
"🚨ALIAS EL DINO ""ESTE ES EL FIN"" 12 TEMPORADA Capitulo #23",0ck0X_93zRk,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-27 22:02:57+00:00,175217,11911,1211,PT8M24S,8.4,0.07488999355085409
"🚨ALIAS EL DINO ""EL FIN DEL SAKURA"" 12 TEMPORADA Capitulo #22",h3RVlZvD7Po,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-25 19:30:40+00:00,160885,10108,1169,PT6M23S,6.383333333333334,0.07009354507878299
"🚨ALIAS EL DINO ""DERROTADO"" 12 TEMPORADA Capitulo #21",ah9QYKqzuhk,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-23 18:54:41+00:00,145585,9027,290,PT6M26S,6.433333333333334,0.06399697771061578
"🚨ALIAS EL DINO ""EL TORNEO DE LA MU3RTE"" 12 TEMPORADA Capitulo #19",0Pye2vANmeM,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-19 20:46:11+00:00,147898,10511,294,PT6M8S,6.133333333333334,0.07305710692504294
"🚨ALIAS EL DINO ""EL FINAL DEL SAKURA"" 12 TEMPORADA Capitulo #18",67CFofAI_ZM,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-17 20:36:55+00:00,168497,11990,549,PT6M41S,6.683333333333334,0.0744167551944545
"🚨ALIAS EL DINO ""EL FIN DE UNA RAZA"" 12 TEMPORADA Capitulo #17",mb3urnasQuE,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-15 20:49:11+00:00,184250,11481,947,PT6M32S,6.533333333333333,0.06745183175033921
"🚨ALIAS EL DINO ""EL FIN DE UNA RAZA"" 12 TEMPORADA Capitulo #16",q_vl3izy880,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-13 22:10:42+00:00,153663,9316,418,PT6M10S,6.166666666666667,0.0633464139057548
"🚨ALIAS EL DINO ""REVELACION"" 12 TEMPORADA Capitulo #15",uiNwoBe1-QI,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-11 20:37:49+00:00,172565,12660,374,PT5M54S,5.9,0.07553095934865123
"🚨ALIAS EL DINO ""ALIAS EL DINO AL RESCATE"" 12 TEMPORADA Proximo Capitulo - WinnerMax",ctZ1fYM6Vok,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-10 18:51:03+00:00,71936,5118,2726,PT6M48S,6.8,0.10904137010676157
"🚨ALIAS EL DINO ""CATASTROFE"" 12 TEMPORADA Capitulo #14",bnvA4WCqWLo,UCQepteFTvZ8Fnoyt7PleZVA,2023-06-09 21:37:57+00:00,176705,10387,391,PT6M51S,6.85,0.06099431255482301
