title,id,channel_id,published,viewCount,likeCount,commentCount,duration,duration_clean,engagement
Ed Sheeran - Tenerife Sea [Live on the Tenerife Sea 2024],AA75gCdr2TM,UC0C-w0YjGpqDXGB8IHb662A,2024-07-11 15:00:08+00:00,973683,41036,1310,PT3M34S,3.5666666666666664,0.04349054055580718
Ed Sheeran - Take It Back [Live from X 10th Anniversary Show],5hqGZCaKQvg,UC0C-w0YjGpqDXGB8IHb662A,2024-06-27 17:00:05+00:00,229307,5385,296,PT9M14S,9.233333333333333,0.024774647088837237
Ed Sheeran - Make It Rain [Live from X 10th Anniversary Show],qSlAAtQ4u-0,UC0C-w0YjGpqDXGB8IHb662A,2024-06-27 16:00:56+00:00,93455,3943,250,PT6M37S,6.616666666666667,0.044866513295168796
Ed Sheeran - Photograph [Live from X 10th Anniversary Show feat. New Hope Choir],5SD_IzHQkJI,UC0C-w0YjGpqDXGB8IHb662A,2024-06-26 17:11:41+00:00,388812,10383,497,PT5M5S,5.083333333333333,0.027982675431828235
Ed Sheeran - Nina (Official Lyric Video),EIYszrkjDFc,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:56:34+00:00,153995,5061,215,PT3M45S,3.75,0.03426085262508523
Ed Sheeran - Bloodstream (Official Lyric Video),Vv-n0pgQ8zg,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:28:58+00:00,101908,2864,136,PT5M,5.0,0.029438316913294345
Ed Sheeran - Don't (Official Lyric Video),jUsWMGM-zHA,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:31+00:00,151636,3696,157,PT3M41S,3.6833333333333336,0.0254095333561951
Ed Sheeran - English Rose (Official Lyric Video),myXqGeknJOk,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:24+00:00,28604,1098,42,PT3M5S,3.083333333333333,0.039854565794993704
Ed Sheeran - Make It Rain (Official Lyric Video),I5FP1mrY6oI,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:14+00:00,66987,2196,73,PT6M45S,6.75,0.033872243868213234
Ed Sheeran - Even My Dad Does Sometimes (Official Lyric Video),cZgoNZ9NL_I,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:18+00:00,26533,926,45,PT3M49S,3.8166666666666655,0.03659593713488863
Ed Sheeran - Shirtsleeves (Official Lyric Video),C0Vx_9mfFFI,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:07+00:00,24871,872,25,PT3M11S,3.183333333333333,0.03606610108158096
Ed Sheeran - Touch and Go (Official Lyric Video),_IQh3WL7kFA,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:29+00:00,31198,1211,38,PT4M2S,4.033333333333333,0.04003461760369254
Ed Sheeran - Sing (Official Lyric Video),T7yaSlCkHec,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:23+00:00,47174,1393,44,PT3M56S,3.9333333333333336,0.03046169500148387
Ed Sheeran - I See Fire (Official Lyric Video),GvGLjYdMzJs,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:09+00:00,132907,3070,96,PT4M59S,4.983333333333333,0.02382116818527241
Ed Sheeran - One (Official Lyric Video),ZpbyMClPnic,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:29+00:00,141883,3425,127,PT4M13S,4.216666666666667,0.025034711699076
Ed Sheeran - I'm A Mess (Official Lyric Video),KKHNf2GTp7o,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:17+00:00,94287,2087,52,PT4M5S,4.083333333333333,0.022686054281077984
Ed Sheeran - Thinking Out Loud (Official Lyric Video),Q5z6RHIpi2Y,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:13+00:00,236007,2632,91,PT4M42S,4.7,0.011537793370535619
Ed Sheeran - Afire Love (Official Lyric Video),29QfzY0IrC0,UC0C-w0YjGpqDXGB8IHb662A,2024-06-20 23:00:01+00:00,258025,11806,458,PT5M15S,5.25,0.047530278073830055
